budget,revenue,original_title,tmdb_votes,tmdb_rating,release_year,imdb_rating,imdb_votes,genres,runtime,rating_combined,budget_adj_2024,revenue_adj_2024,roi,profit_margin,on_netflix,on_hulu,on_disney,on_amazon,on_streaming,streaming_platforms
150000000.0,1513528810.0,Jurassic World,5562,6.5,2015,6.9,718366.0,"('Adventure', 'Action', 'Thriller', 'Science Fiction')",124.0,6.7,198541362.52,2003320481.01,909.0192066694395,90.08938587699645,False,False,False,False,False,0
150000000.0,378436354.0,Mad Max: Fury Road,6185,7.1,2015,8.1,1189406.0,"('Adventure', 'Action', 'Thriller', 'Science Fiction')",120.0,7.6,198541362.52,500901795.67,152.290902667469,60.36321605626637,False,False,False,False,False,0
110000000.0,295238201.0,Insurgent,2480,6.3,2015,6.2,268250.0,"('Adventure', 'Action', 'Science Fiction', 'Thriller')",119.0,6.25,145596999.18,390779964.63,168.3983645479416,62.74194883101164,False,False,False,False,False,0
200000000.0,2068178225.0,Star Wars: The Force Awakens,5292,7.5,2015,7.7,1013886.0,"('Adventure', 'Action', 'Fantasy', 'Science Fiction')",136.0,7.6,264721816.69,2737459484.84,934.0891125137889,90.32965352890062,False,False,False,False,False,0
190000000.0,1506249360.0,Furious 7,2947,7.3,2015,7.1,434109.0,"('Action', 'Thriller', 'Crime')",137.0,7.199999999999999,251485725.86,1993685334.86,692.7628210476915,87.38588675641437,False,False,False,False,False,0
135000000.0,532950503.0,The Revenant,3929,7.2,2015,8.0,929931.0,"('Drama', 'Adventure', 'Western', 'Thriller')",156.0,7.6,178687226.27,705418126.81,294.7781503665511,74.66931746168066,False,False,False,False,False,0
155000000.0,440603537.0,Terminator Genisys,2598,5.8,2015,6.3,304166.0,"('Science Fiction', 'Action', 'Thriller', 'Adventure')",125.0,6.05,205159407.94,583186843.78,184.26034644755663,64.82098145249074,False,False,False,False,False,0
108000000.0,595380321.0,The Martian,4572,7.6,2015,8.0,988458.0,"('Drama', 'Adventure', 'Science Fiction')",141.0,7.8,142949781.01,788050800.99,451.2780750149399,81.86033427915848,False,False,False,False,False,0
74000000.0,1156730962.0,Minions,2893,6.5,2015,6.4,279086.0,"('Comedy', 'Adventure', 'Animation', 'Family')",91.0,6.45,97947072.18,1531059608.43,1463.1499485929808,93.60266108251408,False,False,False,False,False,0
175000000.0,853708609.0,Inside Out,3935,8.0,2015,8.1,892966.0,"('Comedy', 'Adventure', 'Animation', 'Family')",94.0,8.05,231631589.61,1129976469.51,387.83349085180936,79.50120238252005,False,False,True,False,True,1
245000000.0,880674609.0,Spectre,3254,6.2,2015,6.8,488724.0,"('Adventure', 'Action', 'Thriller', 'Crime')",148.0,6.5,324284225.45,1165668912.05,259.45902408063,72.18041743262256,False,False,False,False,False,0
176000003.0,183987723.0,Jupiter Ascending,1937,5.2,2015,5.3,200188.0,"('Science Fiction', 'Action', 'Fantasy', 'Adventure')",124.0,5.25,232955202.66,243527821.41,4.538477196163257,4.341441847911122,True,False,False,False,True,1
15000000.0,36869414.0,Ex Machina,2854,7.6,2015,7.7,628161.0,"('Drama', 'Science Fiction', 'Thriller')",108.0,7.65,19854136.25,48800691.27,145.79609334553652,59.31587087536763,True,False,False,False,True,1
88000000.0,243637091.0,Pixels,1575,5.8,2015,5.6,175212.0,"('Comedy', 'Science Fiction', 'Action', 'Adventure')",105.0,5.699999999999999,116477599.35,322480266.72,176.860330672672,63.88070484600101,False,False,False,False,False,0
280000000.0,1405035767.0,Avengers: Age of Ultron,4304,7.4,2015,7.3,981881.0,"('Adventure', 'Action', 'Science Fiction')",141.0,7.35,370610543.37,1859718103.8,401.7984882160639,80.07168169128838,False,False,False,False,False,0
44000000.0,155760117.0,The Hateful Eight,2389,7.4,2015,7.8,709146.0,"('Drama', 'Western', 'Mystery', 'Crime')",167.0,7.6,58238799.67,206165505.7,254.00026591928548,71.75143364926151,True,False,False,False,True,1
48000000.0,325771424.0,Taken 3,1578,6.1,2015,6.0,212977.0,"('Thriller', 'Crime', 'Action')",109.0,6.05,63533236.01,431194015.94,578.6904666277835,85.26574264452674,False,False,False,False,False,0
130000000.0,518602163.0,Ant-Man,3779,7.0,2015,7.2,768078.0,"('Comedy', 'Science Fiction', 'Action', 'Adventure')",115.0,7.1,172069180.85,686426533.65,298.9247407694624,74.93261515765708,False,False,False,False,False,0
95000000.0,542351353.0,Cinderella,1495,6.8,2015,6.9,202776.0,"('Romance', 'Drama', 'Family', 'Adventure', 'Fantasy')",112.0,6.85,125742862.93,717861177.26,470.8961610486213,82.48367972621848,False,False,False,False,False,0
160000000.0,650523427.0,The Hunger Games: Mockingjay - Part 2,2380,6.5,2015,6.6,404726.0,"('Adventure', 'War', 'Science Fiction', 'Action')",136.0,6.55,211777453.35,861038716.99,306.5771418862895,75.40442152353765,False,True,False,False,True,1
190000000.0,209035668.0,Tomorrowland,1899,6.2,2015,6.4,198012.0,"('Science Fiction', 'Family', 'Adventure', 'Mystery', 'Action')",130.0,6.300000000000001,251485725.86,276681508.93,10.018772629674526,9.106421013619123,False,False,True,False,True,1
30000000.0,91709827.0,Southpaw,1386,7.3,2015,7.3,273949.0,"('Drama', 'Action', 'Sport')",123.0,7.3,39708272.5,121387960.06,205.69942336322993,67.2881293331127,False,False,False,False,False,0
110000000.0,470490832.0,San Andreas,2060,6.1,2015,6.1,272110.0,"('Drama', 'Adventure', 'Action', 'Thriller')",114.0,6.1,145596999.18,622745938.92,327.7189381836818,76.62016079422335,False,False,False,False,False,0
40000000.0,569651467.0,Fifty Shades of Grey,1865,5.3,2015,4.2,351951.0,"('Drama', 'Romance', 'Thriller')",125.0,4.75,52944363.34,753995856.13,1324.1286674616567,92.97816255758418,False,False,False,False,False,0
28000000.0,133346506.0,The Big Short,1545,7.3,2015,7.8,527102.0,"('Drama', 'Comedy', 'Biography')",130.0,7.55,37061054.34,176498646.59,376.23752139049367,79.00207448837186,False,False,False,False,False,0
